DATE,STATE,COUNTY,LATITUDE,LONGITUDE,SPECIES,IDNUMBER,SEX,RELATIVEAGE
8/13/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18184,MALE,ADULT
6/4/2018,AL,ETOWAH,34.02847,-86.039077,RACCOONS,JR18153,FEMALE,ADULT
8/9/2018,AL,LIMESTONE,34.6756,-87.02059,RACCOONS,JR18195,FEMALE,ADULT
5/10/2018,AL,ST CLAIR,33.566878,-86.427343,RACCOONS,JR18207,FEMALE,ADULT
8/15/2018,AL,COLBERT,34.78635,-87.62857,RACCOONS,TN1805-A,MALE,ADULT
5/7/2018,AL,SHELBY,33.142236,-86.773052,RACCOONS,JR18150,MALE,ADULT
9/11/2018,AL,CULLMAN,34.175861,-86.840294,RACCOONS,JR18242,FEMALE,ADULT
7/6/2018,AL,LAUDERDALE,34.836656,-87.651824,RACCOONS,JR18163,FEMALE,ADULT
5/10/2018,AL,MADISON,34.706182,-86.442102,RACCOONS,JR18140,FEMALE,ADULT
7/19/2018,AL,ETOWAH,34.016425,-86.060024,RACCOONS,JR18169,MALE,ADULT
6/22/2018,AL,JEFFERSON,33.470554,-86.777153,RACCOONS,JR18147,MALE,ADULT
10/3/2018,AL,ETOWAH,34.004394,-86.02097,RACCOONS,JR18216,FEMALE,ADULT
10/28/2018,AL,JEFFERSON,33.486009,-86.779541,RACCOONS,JR18269,FEMALE,ADULT
7/19/2018,AL,LIMESTONE,34.679673,-87.028736,RACCOONS,JR18190,MALE,ADULT
11/29/2018,GA,CATOOSA,34.9418,-85.21745,RACCOONS,GA18274,MALE,ADULT
10/15/2018,GA,CATOOSA,34.968338,-85.197663,RACCOONS,GA18053,MALE,ADULT
11/2/2018,GA,WALKER,34.974693,-85.294585,RACCOONS,GA18049,MALE,ADULT
11/30/2018,GA,DADE,34.822068,-85.488277,RACCOONS,GA18283,FEMALE,ADULT
11/30/2018,GA,WALKER,34.912577,-85.265982,RACCOONS,GA18296,FEMALE,ADULT
11/30/2018,GA,CATOOSA,34.9418,-85.21754,RACCOONS,GA18294,MALE,ADULT
10/5/2018,GA,FLOYD,34.226121,-85.183729,RACCOONS,GA18046,FEMALE,ADULT
8/13/2018,GA,CATOOSA,34.923208,-85.039818,RACCOONS,GA18038,MALE,ADULT
7/12/2018,GA,WALKER,34.651849,-85.186017,RACCOONS,GA18025,FEMALE,ADULT
9/14/2018,GA,MURRAY,34.7356,-84.8461,RACCOONS,GA18044,FEMALE,ADULT
8/1/2018,GA,MURRAY,34.845723,-84.775143,"SKUNKS, STRIPED",GA18040,NOT RECORDED,JUVENILE (YOY)
7/17/2018,GA,CATOOSA,34.977697,-85.165374,RACCOONS,GA18031,FEMALE,ADULT
7/16/2018,GA,CATOOSA,34.977697,-85.165374,RACCOONS,GA18027,FEMALE,ADULT
8/8/2018,GA,WHITFIELD,34.82493,-85.044459,RACCOONS,GA18032,MALE,ADULT
11/29/2018,GA,CATOOSA,34.90103,-85.26215,RACCOONS,GA18279,MALE,ADULT
7/13/2018,GA,MURRAY,34.763266,-84.788473,RACCOONS,GA18030,MALE,ADULT
9/4/2018,GA,MURRAY,34.7679944,-84.7753666,RACCOONS,GA18039,MALE,ADULT
11/29/2018,GA,CATOOSA,34.941678,-85.2559,RACCOONS,GA18273,FEMALE,JUVENILE (YOY)
11/29/2018,GA,WALKER,34.91006,-85.270686,RACCOONS,GA18276,MALE,ADULT
11/29/2018,GA,WALKER,34.770494,-85.403948,RACCOONS,GA18271,FEMALE,ADULT
11/29/2018,GA,CATOOSA,34.929989,-85.217312,RACCOONS,GA18281,MALE,ADULT
8/28/2018,GA,WALKER,34.816677,-85.261474,RACCOONS,GA18037,MALE,ADULT
10/15/2018,GA,CATOOSA,34.908127,-85.161002,RACCOONS,GA18055,NOT RECORDED,ADULT
11/29/2018,GA,WALKER,34.890778,-85.273475,RACCOONS,GA18280,MALE,ADULT
11/30/2018,GA,WHITFIELD,34.804828,-85.0489159,RACCOONS,GA18284,MALE,ADULT
9/6/2018,GA,CATOOSA,34.881845,-85.183162,RACCOONS,GA18042,FEMALE,ADULT
11/29/2018,GA,WHITFIELD,34.79581,-85.074514,RACCOONS,GA18269,MALE,ADULT
10/25/2018,GA,MURRAY,34.738648,-84.750755,RACCOONS,GA18051,MALE,ADULT
11/30/2018,GA,WALKER,34.78421,-85.398315,RACCOONS,GA18287,MALE,ADULT
10/16/2018,GA,WHITFIELD,34.773503,-84.912405,RACCOONS,GA18047,MALE,ADULT
8/16/2018,GA,GORDON,34.578147,-84.99714,RACCOONS,GA18035,FEMALE,ADULT
11/29/2018,GA,WALKER,34.890778,-85.273475,RACCOONS,GA18272,FEMALE,JUVENILE (YOY)
10/15/2018,GA,CATOOSA,34.968338,-85.197663,RACCOONS,GA18054,FEMALE,ADULT
9/18/2018,GA,WALKER,34.681939,-85.480723,RACCOONS,GA18041,FEMALE,ADULT
8/10/2018,GA,CHATTOOGA,34.522168,-85.346791,RACCOONS,GA18033,FEMALE,ADULT
11/29/2018,GA,WHITFIELD,34.79581,-85.074514,RACCOONS,GA18270,MALE,ADULT
11/30/2018,GA,WALKER,34.920902,-85.270015,RACCOONS,GA18290,MALE,ADULT
11/29/2018,GA,WALKER,34.772284,-85.40358,RACCOONS,GA18285,MALE,ADULT
7/12/2018,GA,WALKER,34.823664,-85.240678,RACCOONS,GA18026,MALE,ADULT
11/29/2018,GA,WHITFIELD,34.889244,-84.94644,RACCOONS,GA18268,MALE,ADULT
9/27/2018,GA,FLOYD,34.378766,-85.174278,RACCOONS,GA18045,MALE,ADULT
12/2/2018,MA,BARNSTABLE,41.666046,-70.166451,RACCOONS,CC18230,MALE,ADULT
7/31/2018,MA,NORFOLK,42.334934,-71.126445,RACCOONS,CC18177,NOT RECORDED,ADULT
10/23/2018,MA,NORFOLK,42.288754,-71.274625,RACCOONS,CC18180,MALE,ADULT
6/5/2018,MA,BARNSTABLE,41.634928,-70.416738,RACCOONS,CC18156,NOT RECORDED,ADULT
11/13/2018,MA,BARNSTABLE,41.597874,-70.54655,RACCOONS,CC18227,MALE,ADULT
7/16/2018,MA,BARNSTABLE,41.678268,-70.204895,RACCOONS,CC18157,MALE,ADULT
12/12/2018,MA,HAMPDEN,0,0,RACCOONS,CC18225,MALE,ADULT
7/23/2018,MA,BARNSTABLE,41.754132,-70.519447,RACCOONS,CC18163,MALE,ADULT
8/21/2018,MA,BARNSTABLE,41.710105,-70.267763,RACCOONS,CC18185,NOT RECORDED,ADULT
7/27/2018,MA,BARNSTABLE,41.693241,-70.075972,RACCOONS,CC18176,FEMALE,ADULT
12/12/2018,MA,BARNSTABLE,41.7346975,-70.4690385,RACCOONS,CC18222,MALE,ADULT
10/23/2018,MA,BARNSTABLE,41.770621,-70.53091,RACCOONS,CC18194,MALE,ADULT
7/10/2018,MA,PLYMOUTH,41.940052,-70.657052,RACCOONS,CC18164,MALE,ADULT
10/13/2018,MA,BARNSTABLE,41.984273,-70.077504,RACCOONS,CC18210,NOT RECORDED,ADULT
7/25/2018,MA,BARNSTABLE,41.627537,-70.505994,RACCOONS,CC18173,FEMALE,ADULT
7/21/2018,MA,BARNSTABLE,41.76018,-70.516135,RACCOONS,CC18174,MALE,ADULT
4/20/2018,MA,PLYMOUTH,41.805539,-70.607239,RACCOONS,CC18167,MALE,ADULT
12/21/2018,MA,BARNSTABLE,41.650997,-70.414431,RACCOONS,CC18233,FEMALE,ADULT
12/20/2018,MA,WORCESTER,42.071537,-71.675455,RACCOONS,CC18224,MALE,ADULT
10/19/2018,MA,BARNSTABLE,41.625412,-70.376911,RACCOONS,CC18209,MALE,ADULT
10/23/2018,MA,NORFOLK,42.289053,-71.274819,RACCOONS,CC18179,MALE,ADULT
6/1/2018,MA,BARNSTABLE,41.590508,-70.583422,RACCOONS,CC18159,NOT RECORDED,ADULT
8/6/2018,MA,PLYMOUTH,42.001687,-70.767373,RACCOONS,CC18196,MALE,ADULT
10/24/2018,MA,NORFOLK,42.289053,-71.274819,RACCOONS,CC18181,FEMALE,ADULT
12/26/2018,MA,PLYMOUTH,42.136846,-70.70039,RACCOONS,CC18234,MALE,ADULT
7/1/2018,MA,BARNSTABLE,41.612666,-70.392994,RACCOONS,CC18161,MALE,ADULT
8/1/2018,MA,PLYMOUTH,0,0,RACCOONS,CC18204,FEMALE,ADULT
7/12/2018,ME,AROOSTOOK,45.80441,-68.32494,RACCOONS,JJ18124,FEMALE,ADULT
10/6/2018,ME,PENOBSCOT,45.93262,-68.44842,RACCOONS,JJ18175,MALE,ADULT
7/11/2018,ME,AROOSTOOK,46.03319,-68.27248,RACCOONS,JJ18123,FEMALE,ADULT
7/11/2018,ME,AROOSTOOK,47.2445,-68.600326,RACCOONS,JJ18126,MALE,ADULT
7/11/2018,ME,AROOSTOOK,47.247913,-68.582698,RACCOONS,JJ18125,MALE,ADULT
9/16/2018,ME,AROOSTOOK,45.800182,-68.395819,RACCOONS,JJ18148,MALE,ADULT
10/6/2018,ME,AROOSTOOK,46.03748,-68.21786,RACCOONS,JJ18174,MALE,ADULT
7/16/2018,ME,PENOBSCOT,46.00135,-68.45843,"SKUNKS, STRIPED",JJ18130,FEMALE,ADULT
10/23/2018,ME,AROOSTOOK,46.14134,-68.06762,RACCOONS,JJ18189,MALE,ADULT
